Total glosses: 2000
Total unique videos: 21083

Videos per gloss (sorted by count, increasing):
caterpillar: 6 video(s)
complete: 7 video(s)
shoot: 7 video(s)
united states: 7 video(s)
accent: 7 video(s)
act: 7 video(s)
adapt: 7 video(s)
adjective: 7 video(s)
adjust: 7 video(s)
admire: 7 video(s)
admit: 7 video(s)
advanced: 7 video(s)
adverb: 7 video(s)
agreement: 7 video(s)
aid: 7 video(s)
alligator: 7 video(s)
amputate: 7 video(s)
anatomy: 7 video(s)
annoy: 7 video(s)
anyway: 7 video(s)
approach: 7 video(s)
arizona: 7 video(s)
assist: 7 video(s)
assume: 7 video(s)
attorney: 7 video(s)
audiologist: 7 video(s)
audiology: 7 video(s)
austria: 7 video(s)
author: 7 video(s)
available: 7 video(s)
award: 7 video(s)
aware: 7 video(s)
bank: 7 video(s)
baptize: 7 video(s)
basic: 7 video(s)
battery: 7 video(s)
berry: 7 video(s)
beside: 7 video(s)
between: 7 video(s)
binoculars: 7 video(s)
blow: 7 video(s)
boast: 7 video(s)
boil: 7 video(s)
bookshelf: 7 video(s)
bookstore: 7 video(s)
boxing: 7 video(s)
braid: 7 video(s)
brain: 7 video(s)
breakdown: 7 video(s)
breakfast: 7 video(s)
breeze: 7 video(s)
bribe: 7 video(s)
brochure: 7 video(s)
buffalo: 7 video(s)
burp: 7 video(s)
bush: 7 video(s)
bye: 7 video(s)
camel: 7 video(s)
candidate: 7 video(s)
cannot: 7 video(s)
captain: 7 video(s)
carnival: 7 video(s)
cheerleader: 7 video(s)
chemical: 7 video(s)
chicago: 7 video(s)
choke: 7 video(s)
christ: 7 video(s)
click: 7 video(s)
closet: 7 video(s)
clueless: 7 video(s)
clumsy: 7 video(s)
collect: 7 video(s)
comma: 7 video(s)
comment: 7 video(s)
commit: 7 video(s)
committee: 7 video(s)
common sense: 7 video(s)
compete: 7 video(s)
concentrate: 7 video(s)
congratulations: 7 video(s)
consider: 7 video(s)
construct: 7 video(s)
consume: 7 video(s)
contest: 7 video(s)
conversation: 7 video(s)
convert: 7 video(s)
cooperate: 7 video(s)
counsel: 7 video(s)
counselor: 7 video(s)
crave: 7 video(s)
create: 7 video(s)
crocodile: 7 video(s)
crown: 7 video(s)
cuba: 7 video(s)
curtain: 7 video(s)
customer: 7 video(s)
d: 7 video(s)
damage: 7 video(s)
dancer: 7 video(s)
danger: 7 video(s)
dangerous: 7 video(s)
dawn: 7 video(s)
death: 7 video(s)
debate: 7 video(s)
debt: 7 video(s)
deliver: 7 video(s)
democrat: 7 video(s)
descend: 7 video(s)
design: 7 video(s)
detective: 7 video(s)
devil: 7 video(s)
dice: 7 video(s)
difficult: 7 video(s)
dining room: 7 video(s)
discipline: 7 video(s)
discount: 7 video(s)
disgusted: 7 video(s)
disturb: 7 video(s)
division: 7 video(s)
done: 7 video(s)
drag: 7 video(s)
dragon: 7 video(s)
drama: 7 video(s)
drug: 7 video(s)
due: 7 video(s)
dull: 7 video(s)
dusk: 7 video(s)
dvd: 7 video(s)
dye: 7 video(s)
e: 7 video(s)
either: 7 video(s)
electricity: 7 video(s)
elementary: 7 video(s)
else: 7 video(s)
emergency: 7 video(s)
engine: 7 video(s)
enormous: 7 video(s)
eraser: 7 video(s)
every monday: 7 video(s)
every tuesday: 7 video(s)
everything: 7 video(s)
except: 7 video(s)
exhibit: 7 video(s)
explode: 7 video(s)
express: 7 video(s)
f: 7 video(s)
fairy: 7 video(s)
familiar: 7 video(s)
festival: 7 video(s)
finance: 7 video(s)
fingerspell: 7 video(s)
fire: 7 video(s)
firefighter: 7 video(s)
five: 7 video(s)
flatter: 7 video(s)
fool: 7 video(s)
forgive: 7 video(s)
former: 7 video(s)
freeway: 7 video(s)
from now on: 7 video(s)
g: 7 video(s)
gang: 7 video(s)
gay: 7 video(s)
geometry: 7 video(s)
get up: 7 video(s)
gift: 7 video(s)
grab: 7 video(s)
graduation: 7 video(s)
grateful: 7 video(s)
grey: 7 video(s)
gymnastics: 7 video(s)
h: 7 video(s)
hang up: 7 video(s)
hanukkah: 7 video(s)
heap: 7 video(s)
heart attack: 7 video(s)
hill: 7 video(s)
holy: 7 video(s)
hop: 7 video(s)
host: 7 video(s)
hot dog: 7 video(s)
human: 7 video(s)
i: 7 video(s)
ill: 7 video(s)
illegal: 7 video(s)
impact: 7 video(s)
individual: 7 video(s)
inspect: 7 video(s)
inspire: 7 video(s)
intersection: 7 video(s)
ireland: 7 video(s)
iron: 7 video(s)
j: 7 video(s)
jewelry: 7 video(s)
journey: 7 video(s)
joy: 7 video(s)
july: 7 video(s)
k: 7 video(s)
kid: 7 video(s)
kindergarten: 7 video(s)
lady: 7 video(s)
lamp: 7 video(s)
last week: 7 video(s)
laundry: 7 video(s)
leader: 7 video(s)
league: 7 video(s)
leak: 7 video(s)
legal: 7 video(s)
let: 7 video(s)
